Dyad,Round,Player,previous_absent_round,DLIndex,Similarity,Consistency,Joint,Size_visited
152-727,34,152-727PL2,33,0.875,1.0,1.0,8,64
152-727,35,152-727PL1,34,0.640625,0.71875,0.14893617021276595,19,46
152-727,35,152-727PL2,34,0.640625,0.515625,0.515625,19,33
152-727,36,152-727PL1,35,0.15625,0.32142857142857145,0.1956521739130435,0,9
152-727,36,152-727PL2,35,0.15625,0.03125,0.030303030303030304,0,1
152-727,37,152-727PL1,36,0.390625,0.46875,0.3,11,30
152-727,37,152-727PL2,36,0.390625,0.4,0.0,11,17
152-727,39,152-727PL1,37,0.5,0.6875,0.45098039215686275,18,44
152-727,39,152-727PL2,37,0.5,0.5384615384615384,0.20588235294117646,18,24
152-727,41,152-727PL1,39,0.609375,0.78125,0.5666666666666667,16,50
152-727,41,152-727PL2,39,0.609375,0.5,0.6071428571428571,16,21
152-727,43,152-727PL1,41,0.46875,0.75,0.6333333333333333,21,48
152-727,43,152-727PL2,41,0.46875,0.42857142857142855,0.2857142857142857,21,24
152-727,45,152-727PL1,43,0.71875,0.7111111111111111,0.5,18,45
152-727,45,152-727PL2,43,0.71875,0.8648648648648649,0.4878048780487805,18,37
152-727,46,152-727PL1,45,0.796875,0.7804878048780488,0.34375,13,41
152-727,46,152-727PL2,45,0.796875,0.8888888888888888,0.140625,13,36
152-727,49,152-727PL1,46,0.890625,0.8,0.7608695652173914,7,40
152-727,49,152-727PL2,46,0.890625,0.8529411764705882,0.8108108108108109,7,31
152-727,50,152-727PL1,49,0.9375,0.9142857142857143,0.875,3,35
152-727,50,152-727PL2,49,0.9375,0.96875,0.8787878787878788,3,31
152-727,53,152-727PL1,50,0.953125,0.8421052631578947,0.9210526315789473,3,38
152-727,53,152-727PL2,50,0.953125,0.90625,0.875,3,29
152-727,56,152-727PL1,53,0.9375,1.0,0.8421052631578947,4,32
152-727,56,152-727PL2,53,0.9375,0.8888888888888888,0.8055555555555556,4,36
152-727,57,152-727PL1,56,0.953125,0.9142857142857143,0.9142857142857143,3,35
152-727,57,152-727PL2,56,0.953125,1.0,0.8888888888888888,3,32
216-713,2,216-713PL1,,0.0,1.0,,64,64
216-713,2,216-713PL2,,0.0,1.0,,64,64
216-713,6,216-713PL1,2,0.0,1.0,1.0,64,64
216-713,6,216-713PL2,2,0.0,1.0,1.0,64,64
216-713,9,216-713PL1,6,0.078125,1.0,1.0,59,64
216-713,9,216-713PL2,6,0.078125,0.921875,0.921875,59,59
216-713,10,216-713PL1,9,0.0,1.0,1.0,64,64
216-713,10,216-713PL2,9,0.0,1.0,0.921875,64,64
216-713,12,216-713PL1,10,0.0,1.0,1.0,64,64
216-713,12,216-713PL2,10,0.0,1.0,1.0,64,64
216-713,13,216-713PL1,12,0.0625,1.0,1.0,60,64
216-713,13,216-713PL2,12,0.0625,0.9375,0.9375,60,60
216-713,15,216-713PL1,13,0.0,1.0,1.0,64,64
216-713,15,216-713PL2,13,0.0,1.0,0.9375,64,64
216-713,18,216-713PL1,15,0.15625,1.0,1.0,54,64
216-713,18,216-713PL2,15,0.15625,0.84375,0.84375,54,54
216-713,20,216-713PL1,18,0.09375,1.0,1.0,58,64
216-713,20,216-713PL2,18,0.09375,0.90625,0.75,58,58
216-713,21,216-713PL1,20,0.28125,1.0,1.0,46,64
216-713,21,216-713PL2,20,0.28125,0.71875,0.6774193548387096,46,46
216-713,23,216-713PL1,21,0.0,1.0,1.0,64,64
216-713,23,216-713PL2,21,0.0,1.0,0.71875,64,64
216-713,25,216-713PL1,23,0.03125,0.984375,0.984375,62,63
216-713,25,216-713PL2,23,0.03125,0.984375,0.984375,62,63
216-713,28,216-713PL1,25,0.21875,1.0,0.984375,50,64
216-713,28,216-713PL2,25,0.21875,0.78125,0.765625,50,50
216-713,29,216-713PL1,28,0.140625,1.0,1.0,55,64
216-713,29,216-713PL2,28,0.140625,0.859375,0.640625,55,55
216-713,31,216-713PL1,29,0.015625,1.0,1.0,63,64
216-713,31,216-713PL2,29,0.015625,0.984375,0.84375,63,63
216-713,35,216-713PL1,31,0.0,1.0,1.0,64,64
216-713,35,216-713PL2,31,0.0,1.0,0.984375,64,64
216-713,37,216-713PL1,35,0.0,1.0,1.0,64,64
216-713,37,216-713PL2,35,0.0,1.0,1.0,64,64
216-713,41,216-713PL1,37,0.0,1.0,1.0,64,64
216-713,41,216-713PL2,37,0.0,1.0,1.0,64,64
216-713,45,216-713PL1,41,0.0,1.0,1.0,64,64
216-713,45,216-713PL2,41,0.0,1.0,1.0,64,64
216-713,46,216-713PL1,45,0.015625,1.0,1.0,63,64
216-713,46,216-713PL2,45,0.015625,0.984375,0.984375,63,63
216-713,48,216-713PL1,46,0.015625,1.0,1.0,63,64
216-713,48,216-713PL2,46,0.015625,0.984375,0.96875,63,63
216-713,49,216-713PL1,48,0.015625,0.984375,0.984375,63,63
216-713,49,216-713PL2,48,0.015625,1.0,0.984375,63,64
216-713,50,216-713PL1,49,0.03125,1.0,0.984375,62,64
216-713,50,216-713PL2,49,0.03125,0.96875,0.96875,62,62
216-713,52,216-713PL1,50,0.0,1.0,1.0,64,64
216-713,52,216-713PL2,50,0.0,1.0,0.96875,64,64
216-713,53,216-713PL1,52,0.234375,0.765625,0.765625,47,49
216-713,53,216-713PL2,52,0.234375,0.9375,0.9375,47,60
216-713,54,216-713PL1,53,0.0,1.0,0.765625,64,64
216-713,54,216-713PL2,53,0.0,1.0,0.9375,64,64
216-713,56,216-713PL1,54,0.03125,0.96875,0.96875,62,62
216-713,56,216-713PL2,54,0.03125,1.0,1.0,62,64
216-713,59,216-713PL1,56,0.140625,1.0,0.96875,55,64
216-713,59,216-713PL2,56,0.140625,0.859375,0.859375,55,55
216-713,60,216-713PL1,59,0.0,1.0,1.0,64,64
216-713,60,216-713PL2,59,0.0,1.0,0.859375,64,64
251-716,2,251-716PL1,,0.3125,0.671875,,39,43
251-716,2,251-716PL2,,0.3125,0.859375,,39,55
251-716,3,251-716PL1,2,0.34375,0.671875,0.6226415094339622,42,43
251-716,3,251-716PL2,2,0.34375,0.984375,0.84375,42,63
251-716,5,251-716PL1,3,0.484375,1.0,0.671875,33,64
251-716,5,251-716PL2,3,0.484375,0.7105263157894737,0.5238095238095238,33,33
251-716,6,251-716PL1,5,0.78125,0.796875,0.796875,14,51
251-716,6,251-716PL2,5,0.78125,0.6857142857142857,0.6216216216216216,14,27
251-716,9,251-716PL1,6,0.53125,0.6153846153846154,0.43859649122807015,11,31
251-716,9,251-716PL2,6,0.53125,0.39473684210526316,0.15555555555555556,11,25
251-716,10,251-716PL1,9,0.84375,0.7804878048780488,0.38461538461538464,8,41
251-716,10,251-716PL2,9,0.84375,0.8484848484848485,0.17391304347826086,8,29
251-716,14,251-716PL1,10,0.96875,0.78125,0.6097560975609756,1,25
251-716,14,251-716PL2,10,0.96875,0.8205128205128205,0.7435897435897436,1,39
251-716,17,251-716PL1,14,0.953125,0.96875,0.8064516129032258,2,31
251-716,17,251-716PL2,14,0.953125,0.9411764705882353,0.8717948717948718,2,34
251-716,19,251-716PL1,17,0.96875,1.0,0.96875,2,32
251-716,19,251-716PL2,17,0.96875,0.9411764705882353,0.8888888888888888,2,34
251-716,20,251-716PL1,19,0.984375,0.5,0.5,1,16
251-716,20,251-716PL2,19,0.984375,0.765625,0.6938775510204082,1,49
251-716,22,251-716PL1,20,0.96875,1.0,0.5,2,32
251-716,22,251-716PL2,20,0.96875,0.9411764705882353,0.6938775510204082,2,34
251-716,25,251-716PL1,22,0.984375,0.9696969696969697,0.9696969696969697,1,33
251-716,25,251-716PL2,22,0.984375,1.0,0.9411764705882353,1,32
251-716,26,251-716PL1,25,0.953125,0.9696969696969697,1.0,1,33
251-716,26,251-716PL2,25,0.953125,0.9375,0.9375,1,30
251-716,27,251-716PL1,26,0.984375,0.9696969696969697,1.0,1,33
251-716,27,251-716PL2,26,0.984375,1.0,0.9375,1,32
